time_min,scenario,own_ship,target_ship,encounter_type,colregs_role,dcpa_nm,tcpa_min,d_star,t_star,own_ship_length_nm,r_geom,r_env,u,c_colregs,r_total,risk_level,aggregation
0,Сценарій 2 — зустріч на зустрічних курсах без своєчасної зміни курсу TS,OS,TS-1,head-on,mutual,1.5,10.43,27.78,38.49,0.054,0.381,0.158,0.218,0.6,0.3,Низький,max pair risk
1,Сценарій 2 — зустріч на зустрічних курсах без своєчасної зміни курсу TS,OS,TS-1,head-on,mutual,1.434,9.46,26.558,34.911,0.054,0.412,0.163,0.218,0.6,0.334,Середній,max pair risk
2,Сценарій 2 — зустріч на зустрічних курсах без своєчасної зміни курсу TS,OS,TS-1,head-on,mutual,1.369,8.59,25.354,31.7,0.054,0.441,0.167,0.218,0.6,0.364,Середній,max pair risk
3,Сценарій 2 — зустріч на зустрічних курсах без своєчасної зміни курсу TS,OS,TS-1,head-on,mutual,1.304,7.82,24.15,28.858,0.054,0.468,0.172,0.218,0.6,0.393,Середній,max pair risk
4,Сценарій 2 — зустріч на зустрічних курсах без своєчасної зміни курсу TS,OS,TS-1,head-on,mutual,1.238,7.14,22.928,26.349,0.054,0.492,0.176,0.218,0.6,0.419,Середній,max pair risk
5,Сценарій 2 — зустріч на зустрічних курсах без своєчасної зміни курсу TS,OS,TS-1,head-on,mutual,1.172,6.57,21.705,24.245,0.054,0.514,0.181,0.218,0.6,0.443,Середній,max pair risk
6,Сценарій 2 — зустріч на зустрічних курсах без своєчасної зміни курсу TS,OS,TS-1,head-on,mutual,1.107,6.1,20.502,22.511,0.054,0.535,0.186,0.219,0.6,0.466,Середній,max pair risk
7,Сценарій 2 — зустріч на зустрічних курсах без своєчасної зміни курсу TS,OS,TS-1,head-on,mutual,1.042,5.73,19.298,21.146,0.054,0.555,0.19,0.219,0.6,0.487,Середній,max pair risk
8,Сценарій 2 — зустріч на зустрічних курсах без своєчасної зміни курсу TS,OS,TS-1,head-on,mutual,0.976,5.46,18.076,20.149,0.054,0.572,0.195,0.219,0.6,0.507,Середній,max pair risk
9,Сценарій 2 — зустріч на зустрічних курсах без своєчасної зміни курсу TS,OS,TS-1,head-on,mutual,0.91,5.29,16.853,19.522,0.054,0.589,0.199,0.219,0.6,0.525,Середній,max pair risk
10,Сценарій 2 — зустріч на зустрічних курсах без своєчасної зміни курсу TS,OS,TS-1,head-on,mutual,0.845,5.21,15.649,19.227,0.054,0.606,0.204,0.219,0.6,0.543,Середній,max pair risk
11,Сценарій 2 — зустріч на зустрічних курсах без своєчасної зміни курсу TS,OS,TS-1,head-on,mutual,0.787,5.24,14.575,19.337,0.054,0.621,0.209,0.219,0.6,0.56,Середній,max pair risk
12,Сценарій 2 — зустріч на зустрічних курсах без своєчасної зміни курсу TS,OS,TS-1,head-on,mutual,0.76,5.37,14.075,19.817,0.054,0.635,0.213,0.219,0.6,0.575,Середній,max pair risk
13,Сценарій 2 — зустріч на зустрічних курсах без своєчасної зміни курсу TS,OS,TS-1,head-on,mutual,0.751,5.6,13.909,20.666,0.054,0.65,0.218,0.219,0.6,0.59,Середній,max pair risk
14,Сценарій 2 — зустріч на зустрічних курсах без своєчасної зміни курсу TS,OS,TS-1,head-on,mutual,0.742,5.93,13.742,21.884,0.054,0.664,0.222,0.219,0.6,0.603,Високий,max pair risk
15,Сценарій 2 — зустріч на зустрічних курсах без своєчасної зміни курсу TS,OS,TS-1,head-on,mutual,0.719,6.36,13.316,23.471,0.054,0.679,0.227,0.22,0.6,0.617,Високий,max pair risk
16,Сценарій 2 — зустріч на зустрічних курсах без своєчасної зміни курсу TS,OS,TS-1,head-on,mutual,0.674,6.89,12.482,25.426,0.054,0.694,0.232,0.22,0.6,0.629,Високий,max pair risk
17,Сценарій 2 — зустріч на зустрічних курсах без своєчасної зміни курсу TS,OS,TS-1,head-on,mutual,0.601,7.51,11.131,27.714,0.054,0.709,0.236,0.22,0.6,0.64,Високий,max pair risk
18,Сценарій 2 — зустріч на зустрічних курсах без своєчасної зміни курсу TS,OS,TS-1,head-on,mutual,0.498,8.24,9.223,30.408,0.054,0.733,0.241,0.22,0.6,0.652,Високий,max pair risk
19,Сценарій 2 — зустріч на зустрічних курсах без своєчасної зміни курсу TS,OS,TS-1,head-on,mutual,0.361,9.07,6.686,33.471,0.054,0.751,0.245,0.22,0.6,0.661,Високий,max pair risk
20,Сценарій 2 — зустріч на зустрічних курсах без своєчасної зміни курсу TS,OS,TS-1,head-on,mutual,0.19,10,3.519,36.903,0.054,0.76,0.25,0.22,0.6,0.67,Високий,max pair risk
