time_min,scenario,own_ship,target_ship,encounter_type,colregs_role,dcpa_nm,tcpa_min,d_star,t_star,own_ship_length_nm,r_geom,r_env,u,c_colregs,r_total,risk_level,aggregation
0,Сценарій 12 — багатосуднова ситуація за поганої видимості,OS,TS-1,multi-ship,mixed,2,13.64,37.04,50.336,0.054,0.331,0.45,0.324,0.75,0.403,Середній,max pair risk
1,Сценарій 12 — багатосуднова ситуація за поганої видимості,OS,TS-1,multi-ship,mixed,1.909,12.41,35.355,45.797,0.054,0.367,0.463,0.34,0.75,0.449,Середній,max pair risk
2,Сценарій 12 — багатосуднова ситуація за поганої видимості,OS,TS-1,multi-ship,mixed,1.818,11.28,33.669,41.627,0.054,0.401,0.476,0.357,0.75,0.491,Середній,max pair risk
3,Сценарій 12 — багатосуднова ситуація за поганої видимості,OS,TS-1,multi-ship,mixed,1.727,10.24,31.984,37.789,0.054,0.432,0.489,0.373,0.75,0.53,Середній,max pair risk
4,Сценарій 12 — багатосуднова ситуація за поганої видимості,OS,TS-1,multi-ship,mixed,1.636,9.31,30.299,34.357,0.054,0.46,0.502,0.389,0.75,0.566,Середній,max pair risk
5,Сценарій 12 — багатосуднова ситуація за поганої видимості,OS,TS-1,multi-ship,mixed,1.545,8.48,28.613,31.294,0.054,0.487,0.515,0.406,0.75,0.599,Середній,max pair risk
6,Сценарій 12 — багатосуднова ситуація за поганої видимості,OS,TS-1,multi-ship,mixed,1.454,7.75,26.928,28.6,0.054,0.511,0.528,0.422,0.75,0.629,Високий,max pair risk
7,Сценарій 12 — багатосуднова ситуація за поганої видимості,OS,TS-1,multi-ship,mixed,1.363,7.12,25.243,26.275,0.054,0.534,0.541,0.438,0.75,0.657,Високий,max pair risk
8,Сценарій 12 — багатосуднова ситуація за поганої видимості,OS,TS-1,multi-ship,mixed,1.272,6.58,23.557,24.282,0.054,0.555,0.554,0.454,0.75,0.713,Високий,max pair risk
9,Сценарій 12 — багатосуднова ситуація за поганої видимості,OS,TS-1,multi-ship,mixed,1.181,6.15,21.872,22.696,0.054,0.574,0.567,0.471,0.75,0.735,Високий,max pair risk
10,Сценарій 12 — багатосуднова ситуація за поганої видимості,OS,TS-1,multi-ship,mixed,1.09,5.82,20.187,21.478,0.054,0.593,0.58,0.487,0.75,0.754,Високий,max pair risk
11,Сценарій 12 — багатосуднова ситуація за поганої видимості,OS,TS-1,multi-ship,mixed,0.999,5.59,18.501,20.629,0.054,0.61,0.593,0.503,0.75,0.772,Високий,max pair risk
12,Сценарій 12 — багатосуднова ситуація за поганої видимості,OS,TS-1,multi-ship,mixed,0.908,5.46,16.816,20.149,0.054,0.626,0.606,0.52,0.75,0.82,Критичний,max pair risk
13,Сценарій 12 — багатосуднова ситуація за поганої видимості,OS,TS-1,multi-ship,mixed,0.817,5.42,15.131,20.002,0.054,0.641,0.619,0.536,0.75,0.83,Критичний,max pair risk
14,Сценарій 12 — багатосуднова ситуація за поганої видимості,OS,TS-1,multi-ship,mixed,0.727,5.49,13.464,20.26,0.054,0.657,0.632,0.552,0.75,0.839,Критичний,max pair risk
15,Сценарій 12 — багатосуднова ситуація за поганої видимості,OS,TS-1,multi-ship,mixed,0.65,5.66,12.038,20.887,0.054,0.672,0.645,0.569,0.75,0.846,Критичний,max pair risk
16,Сценарій 12 — багатосуднова ситуація за поганої видимості,OS,TS-2,multi-ship,mixed,0.479,8.3,8.871,30.63,0.054,0.699,0.658,0.585,0.75,0.853,Критичний,max pair risk
17,Сценарій 12 — багатосуднова ситуація за поганої видимості,OS,TS-1,multi-ship,mixed,0.506,6.3,9.371,23.249,0.054,0.712,0.671,0.601,0.75,0.857,Критичний,max pair risk
18,Сценарій 12 — багатосуднова ситуація за поганої видимості,OS,TS-2,multi-ship,mixed,0.329,7.95,6.093,29.338,0.054,0.736,0.684,0.617,0.75,0.86,Критичний,max pair risk
19,Сценарій 12 — багатосуднова ситуація за поганої видимості,OS,TS-2,multi-ship,mixed,0.255,7.93,4.723,29.264,0.054,0.746,0.697,0.634,0.75,0.861,Критичний,max pair risk
20,Сценарій 12 — багатосуднова ситуація за поганої видимості,OS,TS-1,multi-ship,mixed,0.18,8,3.334,29.523,0.054,0.75,0.71,0.65,0.75,0.86,Критичний,max pair risk
