time_min,scenario,own_ship,target_ship,encounter_type,colregs_role,dcpa_nm,tcpa_min,d_star,t_star,own_ship_length_nm,r_geom,r_env,u,c_colregs,r_total,risk_level,aggregation
0,Сценарій 4 — перетин курсів за умов сильного вітру та течії,OS,TS-1,crossing,give-way,2.055,13.53,38.059,49.93,0.054,0.317,0.619,0.386,0.65,0.459,Середній,max pair risk
1,Сценарій 4 — перетин курсів за умов сильного вітру та течії,OS,TS-1,crossing,give-way,1.964,12.5,36.373,46.129,0.054,0.345,0.619,0.386,0.65,0.483,Середній,max pair risk
2,Сценарій 4 — перетин курсів за умов сильного вітру та течії,OS,TS-1,crossing,give-way,1.874,11.58,34.706,42.734,0.054,0.37,0.619,0.385,0.65,0.507,Середній,max pair risk
3,Сценарій 4 — перетин курсів за умов сильного вітру та течії,OS,TS-1,crossing,give-way,1.783,10.75,33.021,39.671,0.054,0.392,0.619,0.385,0.65,0.526,Середній,max pair risk
4,Сценарій 4 — перетин курсів за умов сильного вітру та течії,OS,TS-1,crossing,give-way,1.692,10.02,31.336,36.977,0.054,0.413,0.619,0.385,0.65,0.546,Середній,max pair risk
5,Сценарій 4 — перетин курсів за умов сильного вітру та течії,OS,TS-1,crossing,give-way,1.601,9.4,29.651,34.689,0.054,0.431,0.619,0.385,0.65,0.563,Середній,max pair risk
6,Сценарій 4 — перетин курсів за умов сильного вітру та течії,OS,TS-1,crossing,give-way,1.511,8.87,27.984,32.733,0.054,0.448,0.619,0.384,0.65,0.578,Середній,max pair risk
7,Сценарій 4 — перетин курсів за умов сильного вітру та течії,OS,TS-1,crossing,give-way,1.42,8.44,26.298,31.146,0.054,0.464,0.619,0.384,0.65,0.593,Середній,max pair risk
8,Сценарій 4 — перетин курсів за умов сильного вітру та течії,OS,TS-1,crossing,give-way,1.329,8.12,24.613,29.965,0.054,0.477,0.619,0.384,0.65,0.606,Високий,max pair risk
9,Сценарій 4 — перетин курсів за умов сильного вітру та течії,OS,TS-1,crossing,give-way,1.238,7.89,22.928,29.117,0.054,0.49,0.619,0.383,0.65,0.619,Високий,max pair risk
10,Сценарій 4 — перетин курсів за умов сильного вітру та течії,OS,TS-1,crossing,give-way,1.147,7.77,21.242,28.674,0.054,0.502,0.619,0.383,0.65,0.631,Високий,max pair risk
11,Сценарій 4 — перетин курсів за умов сильного вітру та течії,OS,TS-1,crossing,give-way,1.057,7.74,19.576,28.563,0.054,0.513,0.62,0.383,0.65,0.642,Високий,max pair risk
12,Сценарій 4 — перетин курсів за умов сильного вітру та течії,OS,TS-1,crossing,give-way,0.966,7.81,17.89,28.821,0.054,0.523,0.62,0.382,0.65,0.652,Високий,max pair risk
13,Сценарій 4 — перетин курсів за умов сильного вітру та течії,OS,TS-1,crossing,give-way,0.875,7.99,16.205,29.486,0.054,0.533,0.62,0.382,0.65,0.663,Високий,max pair risk
14,Сценарій 4 — перетин курсів за умов сильного вітру та течії,OS,TS-1,crossing,give-way,0.787,8.26,14.575,30.482,0.054,0.543,0.62,0.382,0.65,0.672,Високий,max pair risk
15,Сценарій 4 — перетин курсів за умов сильного вітру та течії,OS,TS-1,crossing,give-way,0.71,8.63,13.149,31.848,0.054,0.553,0.62,0.382,0.65,0.694,Високий,max pair risk
16,Сценарій 4 — перетин курсів за умов сильного вітру та течії,OS,TS-1,crossing,give-way,0.64,9.11,11.853,33.619,0.054,0.563,0.62,0.381,0.65,0.7,Високий,max pair risk
17,Сценарій 4 — перетин курсів за умов сильного вітру та течії,OS,TS-1,crossing,give-way,0.565,9.68,10.464,35.722,0.054,0.578,0.62,0.381,0.65,0.706,Високий,max pair risk
18,Сценарій 4 — перетин курсів за умов сильного вітру та течії,OS,TS-1,crossing,give-way,0.477,10.35,8.834,38.195,0.054,0.594,0.62,0.381,0.65,0.711,Високий,max pair risk
19,Сценарій 4 — перетин курсів за умов сильного вітру та течії,OS,TS-1,crossing,give-way,0.371,11.13,6.871,41.073,0.054,0.606,0.62,0.38,0.65,0.72,Високий,max pair risk
20,Сценарій 4 — перетин курсів за умов сильного вітру та течії,OS,TS-1,crossing,give-way,0.24,12,4.445,44.284,0.054,0.61,0.62,0.38,0.65,0.72,Високий,max pair risk
