time_min,scenario,own_ship,target_ship,encounter_type,colregs_role,dcpa_nm,tcpa_min,d_star,t_star,own_ship_length_nm,r_geom,r_env,u,c_colregs,r_total,risk_level,aggregation
0,"Сценарій 3 — перетин курсів, де OS є судном, що повинно поступитися дорогою",OS,TS-1,crossing,give-way,2.5,15,46.3,55.355,0.054,0.297,0.079,0.189,0.65,0.236,Низький,max pair risk
1,"Сценарій 3 — перетин курсів, де OS є судном, що повинно поступитися дорогою",OS,TS-1,crossing,give-way,2.388,13.95,44.226,51.48,0.054,0.325,0.085,0.189,0.65,0.265,Низький,max pair risk
2,"Сценарій 3 — перетин курсів, де OS є судном, що повинно поступитися дорогою",OS,TS-1,crossing,give-way,2.276,13,42.152,47.974,0.054,0.35,0.091,0.188,0.65,0.291,Низький,max pair risk
3,"Сценарій 3 — перетин курсів, де OS є судном, що повинно поступитися дорогою",OS,TS-1,crossing,give-way,2.164,12.15,40.077,44.838,0.054,0.372,0.097,0.188,0.65,0.315,Середній,max pair risk
4,"Сценарій 3 — перетин курсів, де OS є судном, що повинно поступитися дорогою",OS,TS-1,crossing,give-way,2.052,11.4,38.003,42.07,0.054,0.392,0.103,0.187,0.65,0.337,Середній,max pair risk
5,"Сценарій 3 — перетин курсів, де OS є судном, що повинно поступитися дорогою",OS,TS-1,crossing,give-way,1.94,10.75,35.929,39.671,0.054,0.41,0.109,0.187,0.65,0.357,Середній,max pair risk
6,"Сценарій 3 — перетин курсів, де OS є судном, що повинно поступитися дорогою",OS,TS-1,crossing,give-way,1.828,10.2,33.855,37.641,0.054,0.427,0.115,0.186,0.65,0.376,Середній,max pair risk
7,"Сценарій 3 — перетин курсів, де OS є судном, що повинно поступитися дорогою",OS,TS-1,crossing,give-way,1.716,9.75,31.78,35.981,0.054,0.442,0.121,0.186,0.65,0.393,Середній,max pair risk
8,"Сценарій 3 — перетин курсів, де OS є судном, що повинно поступитися дорогою",OS,TS-1,crossing,give-way,1.604,9.4,29.706,34.689,0.054,0.455,0.127,0.185,0.65,0.409,Середній,max pair risk
9,"Сценарій 3 — перетин курсів, де OS є судном, що повинно поступитися дорогою",OS,TS-1,crossing,give-way,1.492,9.15,27.632,33.767,0.054,0.467,0.133,0.185,0.65,0.424,Середній,max pair risk
10,"Сценарій 3 — перетин курсів, де OS є судном, що повинно поступитися дорогою",OS,TS-1,crossing,give-way,1.38,9,25.558,33.213,0.054,0.478,0.14,0.184,0.65,0.438,Середній,max pair risk
11,"Сценарій 3 — перетин курсів, де OS є судном, що повинно поступитися дорогою",OS,TS-1,crossing,give-way,1.268,8.95,23.483,33.028,0.054,0.489,0.146,0.184,0.65,0.451,Середній,max pair risk
12,"Сценарій 3 — перетин курсів, де OS є судном, що повинно поступитися дорогою",OS,TS-1,crossing,give-way,1.156,9,21.409,33.213,0.054,0.499,0.152,0.184,0.65,0.464,Середній,max pair risk
13,"Сценарій 3 — перетин курсів, де OS є судном, що повинно поступитися дорогою",OS,TS-1,crossing,give-way,1.044,9.15,19.335,33.767,0.054,0.508,0.158,0.183,0.65,0.475,Середній,max pair risk
14,"Сценарій 3 — перетин курсів, де OS є судном, що повинно поступитися дорогою",OS,TS-1,crossing,give-way,0.932,9.4,17.261,34.689,0.054,0.518,0.164,0.183,0.65,0.487,Середній,max pair risk
15,"Сценарій 3 — перетин курсів, де OS є судном, що повинно поступитися дорогою",OS,TS-1,crossing,give-way,0.82,9.75,15.186,35.981,0.054,0.527,0.17,0.182,0.65,0.497,Середній,max pair risk
16,"Сценарій 3 — перетин курсів, де OS є судном, що повинно поступитися дорогою",OS,TS-1,crossing,give-way,0.713,10.2,13.205,37.641,0.054,0.536,0.176,0.182,0.65,0.507,Середній,max pair risk
17,"Сценарій 3 — перетин курсів, де OS є судном, що повинно поступитися дорогою",OS,TS-1,crossing,give-way,0.612,10.75,11.334,39.671,0.054,0.546,0.182,0.181,0.65,0.516,Середній,max pair risk
18,"Сценарій 3 — перетин курсів, де OS є судном, що повинно поступитися дорогою",OS,TS-1,crossing,give-way,0.507,11.4,9.39,42.07,0.054,0.564,0.188,0.181,0.65,0.53,Середній,max pair risk
19,"Сценарій 3 — перетин курсів, де OS є судном, що повинно поступитися дорогою",OS,TS-1,crossing,give-way,0.392,12.15,7.26,44.838,0.054,0.576,0.194,0.18,0.65,0.535,Середній,max pair risk
20,"Сценарій 3 — перетин курсів, де OS є судном, що повинно поступитися дорогою",OS,TS-1,crossing,give-way,0.26,13,4.815,47.974,0.054,0.58,0.2,0.18,0.65,0.54,Середній,max pair risk
