time_min,scenario,own_ship,target_ship,encounter_type,colregs_role,dcpa_nm,tcpa_min,d_star,t_star,own_ship_length_nm,r_geom,r_env,u,c_colregs,r_total,risk_level,aggregation
0,"Сценарій 13 — сильний вітер, течія та непередбачувана поведінка одного із суден",OS,TS-1,multi-ship,mixed,3.5,25.26,64.82,93.218,0.054,0.176,0.764,0.439,0.75,0.464,Середній,max pair risk
1,"Сценарій 13 — сильний вітер, течія та непередбачувана поведінка одного із суден",OS,TS-1,multi-ship,mixed,3.333,23.35,61.727,86.169,0.054,0.233,0.767,0.451,0.75,0.514,Середній,max pair risk
2,"Сценарій 13 — сильний вітер, течія та непередбачувана поведінка одного із суден",OS,TS-1,multi-ship,mixed,3.165,21.53,58.616,79.453,0.054,0.286,0.771,0.463,0.75,0.561,Середній,max pair risk
3,"Сценарій 13 — сильний вітер, течія та непередбачувана поведінка одного із суден",OS,TS-1,multi-ship,mixed,2.998,19.82,55.523,73.142,0.054,0.337,0.774,0.475,0.75,0.604,Високий,max pair risk
4,"Сценарій 13 — сильний вітер, течія та непередбачувана поведінка одного із суден",OS,TS-1,multi-ship,mixed,2.83,18.21,52.412,67.201,0.054,0.384,0.777,0.487,0.75,0.642,Високий,max pair risk
5,"Сценарій 13 — сильний вітер, течія та непередбачувана поведінка одного із суден",OS,TS-1,multi-ship,mixed,2.663,16.7,49.319,61.629,0.054,0.427,0.78,0.499,0.75,0.677,Високий,max pair risk
6,"Сценарій 13 — сильний вітер, течія та непередбачувана поведінка одного із суден",OS,TS-1,multi-ship,mixed,2.495,15.28,46.207,56.388,0.054,0.468,0.784,0.511,0.75,0.709,Високий,max pair risk
7,"Сценарій 13 — сильний вітер, течія та непередбачувана поведінка одного із суден",OS,TS-1,multi-ship,mixed,2.328,13.97,43.115,51.554,0.054,0.506,0.787,0.523,0.75,0.738,Високий,max pair risk
8,"Сценарій 13 — сильний вітер, течія та непередбачувана поведінка одного із суден",OS,TS-1,multi-ship,mixed,2.16,12.76,40.003,47.089,0.054,0.541,0.79,0.535,0.75,0.763,Високий,max pair risk
9,"Сценарій 13 — сильний вітер, течія та непередбачувана поведінка одного із суден",OS,TS-1,multi-ship,mixed,1.992,11.64,36.892,42.955,0.054,0.574,0.794,0.547,0.75,0.814,Критичний,max pair risk
10,"Сценарій 13 — сильний вітер, течія та непередбачувана поведінка одного із суден",OS,TS-1,multi-ship,mixed,1.825,10.63,33.799,39.228,0.054,0.605,0.797,0.559,0.75,0.873,Критичний,max pair risk
11,"Сценарій 13 — сильний вітер, течія та непередбачувана поведінка одного із суден",OS,TS-1,multi-ship,mixed,1.657,9.72,30.688,35.87,0.054,0.634,0.8,0.572,0.75,0.885,Критичний,max pair risk
12,"Сценарій 13 — сильний вітер, течія та непередбачувана поведінка одного із суден",OS,TS-1,multi-ship,mixed,1.49,8.9,27.595,32.844,0.054,0.662,0.804,0.584,0.75,0.896,Критичний,max pair risk
13,"Сценарій 13 — сильний вітер, течія та непередбачувана поведінка одного із суден",OS,TS-1,multi-ship,mixed,1.322,8.19,24.483,30.224,0.054,0.687,0.807,0.596,0.75,0.904,Критичний,max pair risk
14,"Сценарій 13 — сильний вітер, течія та непередбачувана поведінка одного із суден",OS,TS-1,multi-ship,mixed,1.155,7.58,21.391,27.973,0.054,0.711,0.81,0.608,0.75,0.911,Критичний,max pair risk
15,"Сценарій 13 — сильний вітер, течія та непередбачувана поведінка одного із суден",OS,TS-3,multi-ship,mixed,0.531,7.13,9.834,26.312,0.054,0.747,0.814,0.62,0.75,0.917,Критичний,max pair risk
16,"Сценарій 13 — сильний вітер, течія та непередбачувана поведінка одного із суден",OS,TS-3,multi-ship,mixed,0.455,6.7,8.427,24.725,0.054,0.778,0.817,0.632,0.75,0.922,Критичний,max pair risk
17,"Сценарій 13 — сильний вітер, течія та непередбачувана поведінка одного із суден",OS,TS-3,multi-ship,mixed,0.379,6.38,7.019,23.544,0.054,0.803,0.82,0.644,0.75,0.923,Критичний,max pair risk
18,"Сценарій 13 — сильний вітер, течія та непередбачувана поведінка одного із суден",OS,TS-1,multi-ship,mixed,0.485,6.13,8.982,22.622,0.054,0.808,0.823,0.656,0.75,0.923,Критичний,max pair risk
19,"Сценарій 13 — сильний вітер, течія та непередбачувана поведінка одного із суден",OS,TS-1,multi-ship,mixed,0.317,6.01,5.871,22.179,0.054,0.83,0.827,0.668,0.75,0.922,Критичний,max pair risk
20,"Сценарій 13 — сильний вітер, течія та непередбачувана поведінка одного із суден",OS,TS-1,multi-ship,mixed,0.15,6,2.778,22.142,0.054,0.84,0.83,0.68,0.75,0.92,Критичний,max pair risk
